城市,年月,产成品,工业用电量,人均公园绿地面积,绿化覆盖率,生产用水量,人均日生活用水量,月降水量,月平均气温,常住人口,空气质量综合指数
南通,2018年12月,785.89,295.86,19.7,44.5,14317,194.4,29.1,5.3,769.48,4.51
南通,2019年1月,785.89,307.45,19.7,44.5,14317,194.4,28.4,4.6,772.44,4.56
南通,2019年2月,785.89,307.45,19.7,44.5,14317,194.4,64.7,5.6,772.44,4
南通,2019年3月,785.89,307.45,19.7,44.5,14317,194.4,47,11.8,772.44,4.89
南通,2019年4月,785.89,307.45,19.7,44.5,14317,194.4,41,16.3,772.44,4.02
南通,2019年5月,785.89,307.45,19.7,44.5,14317,194.4,80,21.1,772.44,4.65
南通,2019年6月,785.89,307.45,19.7,44.5,14317,194.4,257.1,24.8,772.44,3.47
南通,2019年7月,785.89,307.45,19.7,44.5,14317,194.4,397.1,28.8,772.44,3.51
南通,2019年8月,785.89,307.45,19.7,44.5,14317,194.4,91.5,28.3,772.44,3.08
南通,2019年9月,785.89,307.45,19.7,44.5,14317,194.4,145.1,24.8,772.44,2.73
南通,2019年10月,785.89,307.45,19.7,44.5,14317,194.4,35,19.2,772.44,3.63
南通,2019年11月,785.89,307.45,19.7,44.5,14317,194.4,22.9,12.9,772.44,3.9
南通,2019年12月,785.89,307.45,19.7,44.5,14317,194.4,29.1,5.3,772.44,4.53
南通,2020年1月,785.89,323.52,19.7,44.5,14317,194.4,28.4,4.6,772.8,4.25
南通,2020年2月,785.89,323.52,19.7,44.5,14317,194.4,64.7,5.6,772.8,2.95
南通,2020年3月,785.89,323.52,19.7,44.5,14317,194.4,47,11.8,772.8,3.34
南通,2020年4月,785.89,323.52,19.7,44.5,14317,194.4,41,16.3,772.8,4.18
南通,2020年5月,785.89,323.52,19.7,44.5,14317,194.4,80,21.1,772.8,4.03
南通,2020年6月,785.89,323.52,19.7,44.5,14317,194.4,257.1,24.8,772.8,3.29
南通,2020年7月,785.89,323.52,19.7,44.5,14317,194.4,397.1,28.8,772.8,2.93
南通,2020年8月,785.89,323.52,19.7,44.5,14317,194.4,91.5,28.3,772.8,3.11
南通,2020年9月,785.89,323.52,19.7,44.5,14317,194.4,145.1,24.8,772.8,3.76
南通,2020年10月,785.89,323.52,19.7,44.5,14317,194.4,35,19.2,772.8,2.9
南通,2020年11月,785.89,323.52,19.7,44.5,14317,194.4,22.9,12.9,772.8,3.42
南通,2020年12月,785.89,323.52,19.7,44.5,14317,194.4,29.1,5.3,772.8,4.35
南通,2021年1月,785.89,362.5,19.7,44.5,14317,194.4,28.4,4.6,773.3,4.17
南通,2021年2月,785.89,362.5,19.7,44.5,14317,194.4,64.7,5.6,773.3,3.46
南通,2021年3月,785.89,362.5,19.7,44.5,14317,194.4,47,11.8,773.3,3.66
南通,2021年4月,785.89,362.5,19.7,44.5,14317,194.4,41,16.3,773.3,3.36
南通,2021年5月,785.89,362.5,19.7,44.5,14317,194.4,80,21.1,773.3,3.68
南通,2021年6月,785.89,362.5,19.7,44.5,14317,194.4,257.1,24.8,773.3,3.18
南通,2021年7月,785.89,362.5,19.7,44.5,14317,194.4,397.1,28.8,773.3,2.79
南通,2021年8月,785.89,362.5,19.7,44.5,14317,194.4,91.5,28.3,773.3,2.61
南通,2021年9月,785.89,362.5,19.7,44.5,14317,194.4,145.1,24.8,773.3,2.75
南通,2021年10月,785.89,362.5,19.7,44.5,14317,194.4,35,19.2,773.3,2.65
南通,2021年11月,785.89,362.5,19.7,44.5,14317,194.4,22.9,12.9,773.3,3.94
南通,2021年12月,785.89,362.5,19.7,44.5,14317,194.4,29.1,5.3,773.3,4.34
南通,2022年1月,785.89,388.12,19.7,44.5,14317,194.4,28.4,4.6,774.35,3.84
南通,2022年2月,785.89,388.12,19.7,44.5,14317,194.4,64.7,5.6,774.35,3.06
南通,2022年3月,785.89,388.12,19.7,44.5,14317,194.4,47,11.8,774.35,3.73
南通,2022年4月,785.89,388.12,19.7,44.5,14317,194.4,41,16.3,774.35,3.63
南通,2022年5月,785.89,388.12,19.7,44.5,14317,194.4,80,21.1,774.35,3.23
南通,2022年6月,785.89,388.12,19.7,44.5,14317,194.4,257.1,24.8,774.35,3.14
南通,2022年7月,785.89,388.12,19.7,44.5,14317,194.4,397.1,28.8,774.35,2.97
南通,2022年8月,785.89,388.12,19.7,44.5,14317,194.4,91.5,28.3,774.35,3.24
南通,2022年9月,785.89,388.12,19.7,44.5,14317,194.4,145.1,24.8,774.35,2.45
南通,2022年10月,785.89,388.12,19.7,44.5,14317,194.4,35,19.2,774.35,2.46
南通,2022年11月,785.89,388.12,19.7,44.5,14317,194.4,22.9,12.9,774.35,2.79
南通,2022年12月,785.89,388.12,19.7,44.5,14317,194.4,29.1,5.3,774.35,3.63
南通,2023年1月,785.89,450.39,19.7,44.5,14317,194.4,28.4,4.6,774.85,
南通,2023年2月,785.89,450.39,19.7,44.5,14317,194.4,64.7,5.6,774.85,
南通,2023年3月,785.89,450.39,19.7,44.5,14317,194.4,47,11.8,774.85,
南通,2023年4月,785.89,450.39,19.7,44.5,14317,194.4,41,16.3,774.85,
南通,2023年5月,785.89,450.39,19.7,44.5,14317,194.4,80,21.1,774.85,
南通,2023年6月,785.89,450.39,19.7,44.5,14317,194.4,257.1,24.8,774.85,
南通,2023年7月,785.89,450.39,19.7,44.5,14317,194.4,397.1,28.8,774.85,
南通,2023年8月,785.89,450.39,19.7,44.5,14317,194.4,91.5,28.3,774.85,
南通,2023年9月,785.89,450.39,19.7,44.5,14317,194.4,145.1,24.8,774.85,
南通,2023年10月,785.89,450.39,19.7,44.5,14317,194.4,35,19.2,774.85,
南通,2023年11月,785.89,450.39,19.7,44.5,14317,194.4,22.9,12.9,774.85,
南通,2023年12月,785.89,450.39,19.7,44.5,14317,194.4,29.1,5.3,774.85,
宿迁,2018年7月,341.17,123.84,16.3,45,5502,138.4,271.9,28.3,496.59,3.13
宿迁,2018年8月,341.17,123.84,16.3,45,5502,138.4,157.8,27.9,496.59,3.2
宿迁,2018年9月,341.17,123.84,16.3,45,5502,138.4,103.7,23.6,496.59,3.78
宿迁,2018年10月,341.17,123.84,16.3,45,5502,138.4,5.5,18.8,496.59,5.28
宿迁,2018年11月,341.17,123.84,16.3,45,5502,138.4,24,10.5,496.59,5.18
宿迁,2018年12月,341.17,123.84,16.3,45,5502,138.4,48.9,3,496.59,5.12
宿迁,2019年1月,341.17,137.51,16.3,45,5502,138.4,23.6,2.6,497.28,6.53
宿迁,2019年2月,341.17,137.51,16.3,45,5502,138.4,35.9,4.9,497.28,6.09
宿迁,2019年3月,341.17,137.51,16.3,45,5502,138.4,28.4,12.9,497.28,4.87
宿迁,2019年4月,341.17,137.51,16.3,45,5502,138.4,77.8,16.1,497.28,3.94
宿迁,2019年5月,341.17,137.51,16.3,45,5502,138.4,232.7,21.4,497.28,4.1
宿迁,2019年6月,341.17,137.51,16.3,45,5502,138.4,58.5,26.1,497.28,3.94
宿迁,2019年7月,341.17,137.51,16.3,45,5502,138.4,271.9,28.3,497.28,3.28
宿迁,2019年8月,341.17,137.51,16.3,45,5502,138.4,157.8,27.9,497.28,2.96
宿迁,2019年9月,341.17,137.51,16.3,45,5502,138.4,103.7,23.6,497.28,3.72
宿迁,2019年10月,341.17,137.51,16.3,45,5502,138.4,5.5,18.8,497.28,4.72
宿迁,2019年11月,341.17,137.51,16.3,45,5502,138.4,24,10.5,497.28,4.9
宿迁,2019年12月,341.17,137.51,16.3,45,5502,138.4,48.9,3,497.28,5.39
宿迁,2020年1月,341.17,149.24,16.3,45,5502,138.4,23.6,2.6,498.82,5.88
宿迁,2020年2月,341.17,149.24,16.3,45,5502,138.4,35.9,4.9,498.82,3.67
宿迁,2020年3月,341.17,149.24,16.3,45,5502,138.4,28.4,12.9,498.82,4.02
宿迁,2020年4月,341.17,149.24,16.3,45,5502,138.4,77.8,16.1,498.82,4.17
宿迁,2020年5月,341.17,149.24,16.3,45,5502,138.4,232.7,21.4,498.82,3.79
宿迁,2020年6月,341.17,149.24,16.3,45,5502,138.4,58.5,26.1,498.82,3.42
宿迁,2020年7月,341.17,149.24,16.3,45,5502,138.4,271.9,28.3,498.82,2.83
宿迁,2020年8月,341.17,149.24,16.3,45,5502,138.4,157.8,27.9,498.82,2.92
宿迁,2020年9月,341.17,149.24,16.3,45,5502,138.4,103.7,23.6,498.82,3.74
宿迁,2020年10月,341.17,149.24,16.3,45,5502,138.4,5.5,18.8,498.82,4.25
宿迁,2020年11月,341.17,149.24,16.3,45,5502,138.4,24,10.5,498.82,4.4
宿迁,2020年12月,341.17,149.24,16.3,45,5502,138.4,48.9,3,498.82,6.15
宿迁,2021年1月,341.17,174.5,16.3,45,5502,138.4,23.6,2.6,499.9,5.6
宿迁,2021年2月,341.17,174.5,16.3,45,5502,138.4,35.9,4.9,499.9,3.66
宿迁,2021年3月,341.17,174.5,16.3,45,5502,138.4,28.4,12.9,499.9,4.19
宿迁,2021年4月,341.17,174.5,16.3,45,5502,138.4,77.8,16.1,499.9,3.55
宿迁,2021年5月,341.17,174.5,16.3,45,5502,138.4,232.7,21.4,499.9,3.4
宿迁,2021年6月,341.17,174.5,16.3,45,5502,138.4,58.5,26.1,499.9,3.54
宿迁,2021年7月,341.17,174.5,16.3,45,5502,138.4,271.9,28.3,499.9,2.12
宿迁,2021年8月,341.17,174.5,16.3,45,5502,138.4,157.8,27.9,499.9,2.62
宿迁,2021年9月,341.17,174.5,16.3,45,5502,138.4,103.7,23.6,499.9,2.83
宿迁,2021年10月,341.17,174.5,16.3,45,5502,138.4,5.5,18.8,499.9,3.88
宿迁,2021年11月,341.17,174.5,16.3,45,5502,138.4,24,10.5,499.9,4.84
宿迁,2021年12月,341.17,174.5,16.3,45,5502,138.4,48.9,3,499.9,5.28
宿迁,2022年1月,341.17,182.33,16.3,45,5502,138.4,23.6,2.6,497.53,5.73
宿迁,2022年2月,341.17,182.33,16.3,45,5502,138.4,35.9,4.9,497.53,4.24
宿迁,2022年3月,341.17,182.33,16.3,45,5502,138.4,28.4,12.9,497.53,3.93
宿迁,2022年4月,341.17,182.33,16.3,45,5502,138.4,77.8,16.1,497.53,3.55
宿迁,2022年5月,341.17,182.33,16.3,45,5502,138.4,232.7,21.4,497.53,3.45
宿迁,2022年6月,341.17,182.33,16.3,45,5502,138.4,58.5,26.1,497.53,3.34
宿迁,2022年7月,341.17,182.33,16.3,45,5502,138.4,271.9,28.3,497.53,2.52
宿迁,2022年8月,341.17,182.33,16.3,45,5502,138.4,157.8,27.9,497.53,2.61
宿迁,2022年9月,341.17,182.33,16.3,45,5502,138.4,103.7,23.6,497.53,3.13
宿迁,2022年10月,341.17,182.33,16.3,45,5502,138.4,5.5,18.8,497.53,3.38
宿迁,2022年11月,341.17,182.33,16.3,45,5502,138.4,24,10.5,497.53,3.65
宿迁,2022年12月,341.17,182.33,16.3,45,5502,138.4,48.9,3,497.53,5.13
宿迁,2023年1月,341.17,213.05,16.3,45,5502,138.4,23.6,2.6,497.75,
宿迁,2023年2月,341.17,213.05,16.3,45,5502,138.4,35.9,4.9,497.75,
宿迁,2023年3月,341.17,213.05,16.3,45,5502,138.4,28.4,12.9,497.75,
宿迁,2023年4月,341.17,213.05,16.3,45,5502,138.4,77.8,16.1,497.75,
宿迁,2023年5月,341.17,213.05,16.3,45,5502,138.4,232.7,21.4,497.75,
宿迁,2023年6月,341.17,213.05,16.3,45,5502,138.4,58.5,26.1,497.75,
宿迁,2023年7月,341.17,213.05,16.3,45,5502,138.4,271.9,28.3,497.75,
宿迁,2023年8月,341.17,213.05,16.3,45,5502,138.4,157.8,27.9,497.75,
宿迁,2023年9月,341.17,213.05,16.3,45,5502,138.4,103.7,23.6,497.75,
宿迁,2023年10月,341.17,213.05,16.3,45,5502,138.4,5.5,18.8,497.75,
宿迁,2023年11月,341.17,213.05,16.3,45,5502,138.4,24,10.5,497.75,
宿迁,2023年12月,341.17,213.05,16.3,45,5502,138.4,48.9,3,497.75,
常州,2018年7月,940.54,373.05,15.7,44.8,14170,257.1,280.8,29.4,525.32,3.07
常州,2018年8月,940.54,373.05,15.7,44.8,14170,257.1,96.4,28.6,525.32,3.14
常州,2018年9月,940.54,373.05,15.7,44.8,14170,257.1,110.8,25.3,525.32,3.54
常州,2018年10月,940.54,373.05,15.7,44.8,14170,257.1,19.1,19.3,525.32,4.57
常州,2018年11月,940.54,373.05,15.7,44.8,14170,257.1,17.4,13.1,525.32,4.42
常州,2018年12月,940.54,373.05,15.7,44.8,14170,257.1,44.2,5.1,525.32,5.28
常州,2019年1月,940.54,385.2,15.7,44.8,14170,257.1,28.3,5,527.25,5.92
常州,2019年2月,940.54,385.2,15.7,44.8,14170,257.1,67.1,6.4,527.25,4.85
常州,2019年3月,940.54,385.2,15.7,44.8,14170,257.1,60.9,13,527.25,5.75
常州,2019年4月,940.54,385.2,15.7,44.8,14170,257.1,41.1,17.4,527.25,5.13
常州,2019年5月,940.54,385.2,15.7,44.8,14170,257.1,69.7,22.1,527.25,4.81
常州,2019年6月,940.54,385.2,15.7,44.8,14170,257.1,382,26,527.25,4.2
常州,2019年7月,940.54,385.2,15.7,44.8,14170,257.1,280.8,29.4,527.25,3.87
常州,2019年8月,940.54,385.2,15.7,44.8,14170,257.1,96.4,28.6,527.25,3.52
常州,2019年9月,940.54,385.2,15.7,44.8,14170,257.1,110.8,25.3,527.25,3.568136071
常州,2019年10月,940.54,385.2,15.7,44.8,14170,257.1,19.1,19.3,527.25,4.7
常州,2019年11月,940.54,385.2,15.7,44.8,14170,257.1,17.4,13.1,527.25,5.04
常州,2019年12月,940.54,385.2,15.7,44.8,14170,257.1,44.2,5.1,527.25,5.63
常州,2020年1月,940.54,400.18,15.7,44.8,14170,257.1,28.3,5,527.96,5.52
常州,2020年2月,940.54,400.18,15.7,44.8,14170,257.1,67.1,6.4,527.96,3.57
常州,2020年3月,940.54,400.18,15.7,44.8,14170,257.1,60.9,13,527.96,4.22
常州,2020年4月,940.54,400.18,15.7,44.8,14170,257.1,41.1,17.4,527.96,4.79
常州,2020年5月,940.54,400.18,15.7,44.8,14170,257.1,69.7,22.1,527.96,4.67
常州,2020年6月,940.54,400.18,15.7,44.8,14170,257.1,382,26,527.96,3.47
常州,2020年7月,940.54,400.18,15.7,44.8,14170,257.1,280.8,29.4,527.96,3.44
常州,2020年8月,940.54,400.18,15.7,44.8,14170,257.1,96.4,28.6,527.96,3.38
常州,2020年9月,940.54,400.18,15.7,44.8,14170,257.1,110.8,25.3,527.96,4.2
常州,2020年10月,940.54,400.18,15.7,44.8,14170,257.1,19.1,19.3,527.96,4.12
